field_index,ra0_deg,dec0_deg,target_name,n_target_names,Nvisits,field_mjd_min,field_mjd_max,field_span_days,field_span_years,ebv_mw,R_u_mw,A_u_mw,R_g_mw,A_g_mw,R_r_mw,A_r_mw,R_i_mw,A_i_mw,R_z_mw,A_z_mw,R_y_mw,A_y_mw
0,219.66102574092233,-18.364043799163596,lowdust,1,734,61209.114928919815,64853.14320831885,3644.0282793990336,9.97680569308428,0.11588478833436966,4.757217815396922,0.5512891795977648,3.6605664439892616,0.4242039675455918,2.70136780871597,0.3130474367263302,2.0536599130965882,0.2379879443399781,1.5900964472616756,0.18426799022215248,1.3077049588254708,0.15154311235729528
1,114.91533176347443,-18.861197556371707,dusty_plane,1,242,61267.42009596092,64789.026521815795,3521.606425854872,9.641632924996228,0.9527773261070251,4.757217815396922,4.5325692698625835,3.6605664439892616,3.48770470854119,2.70136780871597,2.5738019976199955,2.0536599130965882,1.956680600733353,1.5900964472616756,1.5150078412742596,1.3077049588254708,1.2459516340066294
2,151.3671288745661,-9.254871664892395,lowdust,1,652,61397.28726839196,64842.00891053619,3444.721642144228,9.43113385939556,0.08289188891649246,4.757217815396922,0.3943347707054406,3.6605664439892616,0.3034312670465977,2.70136780871597,0.22392148032267284,2.0536599130965882,0.17023174938865596,1.5900964472616756,0.13180609807292412,1.3077049588254708,0.10839813418250727
3,195.0626100657779,-27.111019297097652,lowdust,1,744,61220.04141535335,64854.11295432843,3634.071538975084,9.9495456234773,0.07715411484241486,4.757217815396922,0.36703892965951607,3.6605664439892616,0.28242776380783763,2.70136780871597,0.20842164214527453,2.0536599130965882,0.15844831278231788,1.5900964472616756,0.12268248390254317,1.3077049588254708,0.10089481857321576
4,304.4070311872151,-59.260682184231406,lowdust,1,701,61208.29218766658,64852.199240708826,3643.907053042247,9.976473793407932,0.0495905801653862,4.757217815396922,0.23591319143864448,3.6605664439892616,0.18152961369137216,2.70136780871597,0.13396239687432296,2.0536599130965882,0.10184218655285641,1.5900964472616756,0.07885380533862592,1.3077049588254708,0.06484984759330757
5,2.340934412970635,-32.12866320562232,lowdust,1,751,61220.35852549374,64853.372364512135,3633.013839018393,9.946649798818324,0.017161421477794647,4.757217815396922,0.08164061999170007,3.6605664439892616,0.0628205235927717,2.70136780871597,0.04635931153192131,2.0536599130965882,0.03524372334070168,1.5900964472616756,0.027288315321801485,1.3077049588254708,0.022442075967006
6,257.7948100423898,-11.399340911289361,dusty_plane,1,159,61213.20224711507,64844.188690254625,3630.9864431395545,9.941099091415618,0.8112674355506897,4.757217815396922,3.8593758974531154,3.6605664439892616,2.9696983516780757,2.70136780871597,2.191531734656191,2.0536599130965882,1.6660674111911213,1.5900964472616756,1.289993467048242,1.3077049588254708,1.06089844840326
7,61.15782126345891,-29.389194181540397,lowdust,1,726,61313.25099148834,64778.05543190004,3464.8044404116954,9.48611756443996,0.013085873797535896,4.757217815396922,0.062252351959673546,3.6605664439892616,0.04790171051353823,2.70136780871597,0.035349758225583276,2.0536599130965882,0.02687393444584049,1.5900964472616756,0.02080780143477648,1.3077049588254708,0.017112462055601987
8,340.3186435723173,-20.838384854109613,lowdust,1,714,61219.309704116975,64856.30200143166,3636.992297314682,9.957542223996391,0.02975834161043167,4.757217815396922,0.14156691286581308,3.6605664439892616,0.10893238672791554,2.70136780871597,0.08038822606719308,2.0536599130965882,0.06111351324557769,1.5900964472616756,0.047318633271146694,1.3077049588254708,0.03891513089038384
9,126.37659418585461,4.985744899978122,lowdust,1,675,61370.32429644807,64822.051519414264,3451.7272229661976,9.450314094363307,0.0274459607899189,4.757217815396922,0.13056641363048757,3.6605664439892616,0.10046776309062214,2.70136780871597,0.07414163495716765,2.0536599130965882,0.05636466945067722,1.5900964472616756,0.0436417247437333,1.3077049588254708,0.03589121902470638
10,55.61712019672246,-22.166542723120976,lowdust,1,831,61313.25705274289,64764.06230430676,3450.80525156387,9.447789874233731,0.01679006777703762,4.757217815396922,0.07987400955064516,3.6605664439892616,0.06146115869692929,2.70136780871597,0.04535614859904873,2.0536599130965882,0.034481089131876905,1.5900964472616756,0.02669782712155026,1.3077049588254708,0.021956454891047847
11,23.8549553059906,-5.002978714011907,lowdust,1,697,61219.4407905454,64860.41302570918,3640.972235163783,9.968438699969289,0.0367734432220459,4.757217815396922,0.17493927922940394,3.6605664439892616,0.13461163228856557,2.70136780871597,0.09933859573567927,2.0536599130965882,0.0755201462116491,1.5900964472616756,0.05847332142095413,1.3077049588254708,0.04808881405455632
